Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-08-12,KOTAKNIFTY,EQ,570.66,570.75,578.0,569.1,569.1,572.63,572.31,1033,59119210000.0,43.0,994,0.9622
2013-08-13,KOTAKNIFTY,EQ,572.63,570.75,579.5,570.5,579.5,579.25,574.19,144,8268400000.0,21.0,88,0.6111
2013-08-14,KOTAKNIFTY,EQ,579.25,580.0,584.9,579.0,581.0,582.12,581.34,129,7499289999.999999,13.0,92,0.7132
2013-08-16,KOTAKNIFTY,EQ,582.12,580.0,600.0,561.1,561.1,573.05,574.92,673,38692076000.0,89.0,324,0.4814
2013-08-19,KOTAKNIFTY,EQ,573.05,580.0,580.0,551.01,555.0,555.77,557.94,776,43296110000.0,57.0,358,0.46130000000000004
2013-08-20,KOTAKNIFTY,EQ,555.77,546.0,565.0,545.0,558.95,558.66,552.17,2012,111097325000.0,58.0,1906,0.9473
2013-08-21,KOTAKNIFTY,EQ,558.66,551.0,569.0,548.0,554.0,552.98,554.48,565,31328092000.0,75.0,407,0.7204
2013-08-22,KOTAKNIFTY,EQ,552.98,547.0,555.0,540.0,547.0,547.39,547.78,557,30511553000.000004,58.0,372,0.6679
2013-08-23,KOTAKNIFTY,EQ,547.39,530.0,556.0,522.0,555.0,555.0,543.64,373,20277809000.0,36.0,130,0.34850000000000003
2013-08-26,KOTAKNIFTY,EQ,555.0,560.0,564.0,559.0,560.0,560.0,560.84,87,4879299000.0,17.0,78,0.8966
2013-08-27,KOTAKNIFTY,EQ,560.0,563.0,567.2,543.0,543.0,543.0,554.05,1250,69256783000.0,74.0,781,0.6248
2013-08-28,KOTAKNIFTY,EQ,543.0,534.0,554.7,533.0,538.0,538.74,535.3,491,26283384000.000004,62.0,415,0.8452
2013-08-29,KOTAKNIFTY,EQ,538.74,542.0,556.7,541.0,553.0,551.14,545.07,723,39408650000.0,55.0,591,0.8174
2013-08-30,KOTAKNIFTY,EQ,551.14,548.5,567.0,548.0,560.0,558.56,558.12,1397,77969459000.0,75.0,1010,0.723
